Scan,Time,5001 <LOAD> (VDC),5021 <DISP> (VDC),1-1p (6001),1-3p (6002),2-4p (6003),3-1p (6004),3-5p (6005),4-2p (6006),4-6p (6007),5-3p (6008),5-7p (6009),6-4p (6010),6-8p (6011),7-5p (6012),7-9p (6013),8-6p (6014),8-10p (6015),9-7p (6016),9-11p (6017),10-8p (6018),10-12p (6019),11-9p (6020),11-13p (6021),12-10p (6022),12-14p (6023),13-11p (6024),13-15p (6025),14-12p (6026),14-16p (6027),15-13p (6028),15-17p (6029),16-14p (6030),16-18p (6031),17-15p (6032),17-19p (6033),18-16p (6034),18-20p (6035),19-17p (6036),19-21p (6037),20-18p (6038),21-19p (6039),21-21p (6040)
353,2025-07-03 16:31:00.724296+00:00,0.1,0.1,88.0,60.0,88.0,87.0,95.0,62.0,78.0,97.0,100.0,78.0,12.0,56.0,50.0,16.0,74.0,12.0,84.0,71.0,80.0,1.0,75.0,64.0,48.0,65.0,77.0,64.0,76.0,9.0,35.0,69.0,21.0,36.0,90.0,43.0,88.0,42.0,67.0,70.0,20.0,54.0
354,2025-07-03 16:31:00.876892+00:00,0.1,0.1,9.0,11.0,81.0,50.0,70.0,95.0,65.0,6.0,74.0,11.0,71.0,15.0,93.0,75.0,70.0,44.0,23.0,65.0,72.0,34.0,87.0,95.0,43.0,35.0,35.0,10.0,78.0,35.0,84.0,23.0,70.0,87.0,46.0,2.0,83.0,83.0,53.0,64.0,94.0,85.0
355,2025-07-03 16:31:00.924798+00:00,0.1,0.1,11.0,47.0,87.0,80.0,93.0,21.0,81.0,70.0,86.0,15.0,32.0,34.0,28.0,2.0,97.0,76.0,86.0,37.0,71.0,60.0,29.0,11.0,97.0,94.0,9.0,12.0,65.0,69.0,85.0,59.0,73.0,15.0,57.0,16.0,10.0,16.0,62.0,27.0,93.0,76.0
356,2025-07-03 16:31:01.025961+00:00,0.1,0.1,37.0,36.0,24.0,95.0,88.0,94.0,60.0,33.0,33.0,34.0,51.0,80.0,25.0,64.0,54.0,78.0,79.0,9.0,58.0,28.0,75.0,47.0,29.0,27.0,79.0,63.0,85.0,82.0,36.0,39.0,85.0,56.0,22.0,26.0,5.0,14.0,8.0,75.0,92.0,20.0
357,2025-07-03 16:31:01.126177+00:00,0.1,0.1,20.0,31.0,78.0,44.0,17.0,90.0,26.0,43.0,34.0,53.0,13.0,86.0,35.0,33.0,65.0,48.0,93.0,45.0,17.0,42.0,9.0,19.0,95.0,37.0,43.0,12.0,33.0,7.0,3.0,57.0,41.0,56.0,11.0,74.0,3.0,1.0,57.0,10.0,97.0,70.0
358,2025-07-03 16:31:01.226982+00:00,0.1,0.1,4.0,10.0,25.0,82.0,100.0,53.0,92.0,27.0,91.0,69.0,11.0,65.0,7.0,85.0,96.0,31.0,36.0,55.0,100.0,69.0,73.0,23.0,35.0,89.0,72.0,86.0,43.0,39.0,67.0,73.0,64.0,7.0,90.0,33.0,100.0,73.0,99.0,79.0,19.0,32.0
359,2025-07-03 16:31:01.327186+00:00,0.1,0.1,78.0,93.0,50.0,65.0,82.0,71.0,8.0,38.0,32.0,54.0,2.0,1.0,52.0,2.0,43.0,50.0,78.0,19.0,77.0,17.0,29.0,90.0,71.0,58.0,72.0,21.0,10.0,16.0,49.0,97.0,89.0,18.0,96.0,11.0,20.0,46.0,43.0,40.0,0.0,43.0
360,2025-07-03 16:31:01.427763+00:00,0.1,0.1,76.0,49.0,94.0,86.0,58.0,41.0,53.0,39.0,33.0,38.0,39.0,88.0,55.0,55.0,100.0,45.0,37.0,33.0,66.0,68.0,82.0,35.0,0.0,78.0,5.0,49.0,95.0,82.0,67.0,71.0,12.0,47.0,38.0,18.0,52.0,95.0,3.0,49.0,68.0,27.0
361,2025-07-03 16:31:01.581291+00:00,0.1,0.1,87.0,13.0,61.0,4.0,40.0,63.0,40.0,89.0,70.0,79.0,1.0,89.0,52.0,66.0,19.0,87.0,86.0,30.0,8.0,68.0,63.0,93.0,92.0,46.0,56.0,61.0,79.0,61.0,71.0,87.0,66.0,58.0,10.0,56.0,39.0,54.0,15.0,98.0,52.0,84.0
362,2025-07-03 16:31:01.639549+00:00,0.1,0.1,84.0,4.0,36.0,79.0,2.0,44.0,47.0,17.0,51.0,59.0,100.0,81.0,77.0,82.0,76.0,12.0,8.0,68.0,26.0,47.0,55.0,32.0,30.0,4.0,70.0,29.0,80.0,27.0,49.0,57.0,65.0,80.0,43.0,80.0,80.0,86.0,65.0,25.0,60.0,82.0
363,2025-07-03 16:31:01.741329+00:00,0.1,0.1,52.0,36.0,46.0,19.0,37.0,25.0,18.0,47.0,5.0,71.0,57.0,17.0,98.0,9.0,25.0,18.0,41.0,83.0,75.0,61.0,39.0,69.0,54.0,20.0,46.0,69.0,81.0,35.0,36.0,65.0,1.0,39.0,9.0,42.0,49.0,25.0,95.0,16.0,48.0,64.0
364,2025-07-03 16:31:01.842197+00:00,0.1,0.1,19.0,65.0,93.0,41.0,20.0,89.0,28.0,9.0,35.0,47.0,16.0,26.0,21.0,83.0,75.0,98.0,92.0,100.0,46.0,31.0,52.0,47.0,96.0,57.0,99.0,72.0,5.0,49.0,22.0,14.0,67.0,23.0,73.0,67.0,22.0,51.0,52.0,65.0,19.0,88.0
365,2025-07-03 16:31:01.956868+00:00,0.1,0.1,87.0,63.0,82.0,61.0,20.0,91.0,45.0,22.0,46.0,27.0,35.0,8.0,55.0,100.0,77.0,27.0,95.0,91.0,38.0,87.0,68.0,20.0,5.0,61.0,67.0,67.0,67.0,1.0,2.0,38.0,69.0,67.0,63.0,42.0,85.0,33.0,39.0,76.0,24.0,60.0
366,2025-07-03 16:31:02.067461+00:00,0.1,0.1,91.0,8.0,95.0,18.0,60.0,4.0,81.0,10.0,42.0,13.0,16.0,52.0,91.0,93.0,99.0,9.0,90.0,5.0,8.0,91.0,47.0,50.0,58.0,89.0,58.0,28.0,72.0,6.0,36.0,7.0,25.0,60.0,47.0,16.0,3.0,16.0,31.0,41.0,2.0,12.0
367,2025-07-03 16:31:02.168141+00:00,0.1,0.1,70.0,34.0,86.0,36.0,99.0,43.0,18.0,60.0,99.0,89.0,69.0,92.0,39.0,99.0,96.0,81.0,89.0,13.0,2.0,38.0,67.0,50.0,39.0,1.0,6.0,64.0,18.0,82.0,41.0,20.0,93.0,35.0,34.0,41.0,2.0,7.0,50.0,5.0,48.0,27.0
368,2025-07-03 16:31:02.269322+00:00,0.1,0.1,68.0,50.0,31.0,19.0,54.0,91.0,8.0,52.0,17.0,24.0,80.0,26.0,20.0,53.0,49.0,35.0,99.0,28.0,68.0,15.0,30.0,97.0,73.0,70.0,65.0,54.0,5.0,85.0,17.0,14.0,15.0,83.0,90.0,20.0,43.0,88.0,90.0,23.0,96.0,93.0
369,2025-07-03 16:31:02.369956+00:00,0.1,0.1,13.0,99.0,10.0,10.0,63.0,41.0,44.0,38.0,89.0,69.0,65.0,100.0,56.0,17.0,51.0,57.0,6.0,46.0,15.0,96.0,69.0,78.0,31.0,42.0,73.0,24.0,76.0,45.0,63.0,38.0,6.0,37.0,51.0,5.0,56.0,90.0,39.0,91.0,81.0,36.0
370,2025-07-03 16:31:02.469885+00:00,0.1,0.1,94.0,97.0,54.0,72.0,65.0,42.0,26.0,35.0,12.0,57.0,42.0,87.0,48.0,75.0,56.0,95.0,49.0,49.0,44.0,95.0,37.0,85.0,28.0,80.0,56.0,4.0,49.0,41.0,0.0,41.0,0.0,35.0,55.0,78.0,23.0,28.0,24.0,47.0,95.0,36.0
371,2025-07-03 16:31:02.632073+00:00,0.1,0.1,8.0,87.0,7.0,48.0,2.0,20.0,13.0,37.0,86.0,56.0,77.0,2.0,30.0,8.0,100.0,17.0,94.0,51.0,100.0,100.0,32.0,24.0,58.0,35.0,2.0,64.0,89.0,78.0,11.0,57.0,42.0,69.0,94.0,24.0,35.0,76.0,42.0,28.0,39.0,73.0
372,2025-07-03 16:31:02.685043+00:00,0.1,0.1,98.0,46.0,57.0,21.0,8.0,21.0,24.0,92.0,87.0,24.0,60.0,7.0,12.0,83.0,64.0,26.0,22.0,1.0,82.0,22.0,24.0,96.0,76.0,47.0,80.0,19.0,51.0,21.0,21.0,7.0,49.0,33.0,38.0,6.0,24.0,26.0,21.0,57.0,72.0,87.0
373,2025-07-03 16:31:02.787475+00:00,0.1,0.1,40.0,91.0,80.0,18.0,75.0,95.0,90.0,78.0,37.0,100.0,14.0,34.0,71.0,18.0,15.0,5.0,71.0,88.0,100.0,34.0,62.0,38.0,64.0,15.0,46.0,68.0,11.0,0.0,68.0,34.0,40.0,38.0,28.0,24.0,48.0,77.0,75.0,26.0,44.0,91.0
374,2025-07-03 16:31:02.886469+00:00,0.1,0.1,79.0,59.0,90.0,46.0,29.0,73.0,15.0,4.0,86.0,40.0,96.0,0.0,89.0,97.0,19.0,46.0,14.0,37.0,2.0,22.0,3.0,74.0,61.0,83.0,14.0,30.0,16.0,9.0,59.0,55.0,76.0,18.0,71.0,23.0,32.0,67.0,90.0,28.0,71.0,17.0
375,2025-07-03 16:31:03.019259+00:00,0.1,0.1,79.0,73.0,30.0,100.0,72.0,38.0,24.0,80.0,7.0,9.0,73.0,11.0,21.0,20.0,3.0,50.0,42.0,81.0,75.0,77.0,31.0,97.0,49.0,45.0,54.0,88.0,18.0,1.0,2.0,8.0,47.0,23.0,94.0,68.0,37.0,54.0,21.0,12.0,89.0,18.0
376,2025-07-03 16:31:03.115194+00:00,0.1,0.1,14.0,42.0,55.0,7.0,88.0,14.0,15.0,4.0,2.0,84.0,48.0,3.0,74.0,22.0,15.0,45.0,37.0,63.0,87.0,44.0,15.0,23.0,95.0,59.0,98.0,25.0,63.0,32.0,35.0,38.0,84.0,11.0,15.0,92.0,78.0,77.0,2.0,41.0,54.0,14.0
377,2025-07-03 16:31:03.217547+00:00,0.1,0.1,3.0,54.0,35.0,60.0,8.0,41.0,98.0,80.0,43.0,96.0,98.0,66.0,75.0,47.0,48.0,3.0,65.0,70.0,25.0,13.0,71.0,63.0,83.0,72.0,59.0,100.0,49.0,20.0,57.0,70.0,77.0,71.0,2.0,88.0,15.0,30.0,72.0,40.0,67.0,100.0
378,2025-07-03 16:31:03.316759+00:00,0.1,0.1,86.0,24.0,56.0,24.0,36.0,43.0,60.0,41.0,90.0,52.0,90.0,21.0,56.0,38.0,3.0,74.0,92.0,2.0,99.0,53.0,3.0,97.0,59.0,49.0,95.0,23.0,14.0,74.0,89.0,81.0,48.0,17.0,42.0,51.0,10.0,78.0,99.0,52.0,5.0,61.0
379,2025-07-03 16:31:03.417668+00:00,0.1,0.1,12.0,82.0,26.0,61.0,88.0,23.0,47.0,47.0,92.0,56.0,0.0,1.0,0.0,63.0,76.0,26.0,92.0,62.0,88.0,76.0,25.0,80.0,90.0,88.0,98.0,9.0,41.0,94.0,75.0,100.0,52.0,99.0,60.0,0.0,0.0,21.0,21.0,43.0,45.0,82.0
380,2025-07-03 16:31:03.518982+00:00,0.1,0.1,66.0,10.0,16.0,62.0,7.0,91.0,82.0,74.0,95.0,74.0,62.0,44.0,69.0,36.0,47.0,17.0,80.0,56.0,34.0,37.0,21.0,82.0,15.0,56.0,73.0,15.0,11.0,65.0,69.0,87.0,34.0,67.0,75.0,57.0,11.0,79.0,30.0,82.0,35.0,78.0
381,2025-07-03 16:31:03.664388+00:00,0.1,0.1,75.0,89.0,28.0,38.0,88.0,46.0,19.0,81.0,45.0,15.0,48.0,50.0,22.0,89.0,16.0,13.0,95.0,6.0,37.0,81.0,9.0,66.0,28.0,45.0,51.0,41.0,7.0,41.0,47.0,78.0,83.0,99.0,51.0,79.0,13.0,57.0,18.0,88.0,59.0,100.0
382,2025-07-03 16:31:03.729658+00:00,0.1,0.1,37.0,31.0,92.0,30.0,50.0,85.0,45.0,34.0,49.0,78.0,57.0,58.0,99.0,73.0,10.0,93.0,45.0,2.0,69.0,82.0,9.0,71.0,46.0,3.0,2.0,78.0,98.0,75.0,97.0,9.0,60.0,79.0,2.0,19.0,67.0,40.0,90.0,76.0,90.0,80.0
383,2025-07-03 16:31:03.825003+00:00,0.1,0.1,34.0,2.0,7.0,28.0,74.0,59.0,68.0,45.0,66.0,8.0,72.0,46.0,0.0,47.0,70.0,44.0,51.0,33.0,86.0,31.0,8.0,22.0,21.0,81.0,27.0,92.0,79.0,22.0,50.0,68.0,60.0,79.0,37.0,65.0,32.0,44.0,24.0,85.0,97.0,75.0
384,2025-07-03 16:31:03.925972+00:00,0.1,0.1,92.0,69.0,26.0,12.0,35.0,69.0,49.0,27.0,100.0,71.0,65.0,53.0,30.0,83.0,48.0,89.0,10.0,90.0,77.0,59.0,66.0,9.0,53.0,71.0,68.0,11.0,69.0,57.0,58.0,48.0,28.0,29.0,69.0,17.0,98.0,56.0,14.0,33.0,16.0,46.0
385,2025-07-03 16:31:04.025955+00:00,0.1,0.1,52.0,2.0,72.0,82.0,49.0,39.0,60.0,41.0,51.0,67.0,61.0,24.0,87.0,1.0,57.0,26.0,86.0,73.0,10.0,32.0,39.0,46.0,52.0,0.0,37.0,5.0,73.0,65.0,84.0,83.0,61.0,84.0,0.0,38.0,85.0,13.0,87.0,94.0,78.0,23.0
386,2025-07-03 16:31:04.130085+00:00,0.1,0.1,37.0,34.0,52.0,21.0,70.0,70.0,0.0,90.0,78.0,21.0,37.0,49.0,36.0,39.0,36.0,45.0,69.0,74.0,23.0,80.0,13.0,92.0,72.0,55.0,95.0,34.0,45.0,17.0,1.0,32.0,79.0,95.0,61.0,81.0,88.0,3.0,88.0,30.0,92.0,65.0
387,2025-07-03 16:31:04.235909+00:00,0.1,0.1,56.0,42.0,30.0,87.0,56.0,79.0,16.0,96.0,19.0,27.0,34.0,59.0,15.0,11.0,92.0,72.0,27.0,61.0,7.0,77.0,89.0,19.0,69.0,4.0,11.0,40.0,68.0,100.0,10.0,71.0,3.0,69.0,33.0,68.0,86.0,98.0,79.0,84.0,19.0,89.0
388,2025-07-03 16:31:04.336852+00:00,0.1,0.1,61.0,2.0,0.0,76.0,10.0,14.0,67.0,29.0,84.0,44.0,56.0,90.0,40.0,50.0,64.0,100.0,68.0,45.0,23.0,80.0,94.0,28.0,98.0,20.0,38.0,19.0,78.0,24.0,63.0,98.0,27.0,18.0,6.0,8.0,85.0,33.0,41.0,73.0,90.0,76.0
389,2025-07-03 16:31:04.436971+00:00,0.1,0.1,99.0,31.0,72.0,72.0,8.0,70.0,43.0,72.0,28.0,66.0,51.0,62.0,5.0,91.0,99.0,73.0,34.0,41.0,7.0,6.0,83.0,60.0,0.0,61.0,42.0,75.0,99.0,92.0,14.0,67.0,85.0,89.0,27.0,11.0,73.0,76.0,52.0,74.0,47.0,25.0
390,2025-07-03 16:31:04.538365+00:00,0.1,0.1,71.0,14.0,86.0,30.0,77.0,11.0,42.0,74.0,19.0,60.0,26.0,96.0,23.0,72.0,84.0,98.0,41.0,46.0,70.0,71.0,22.0,98.0,93.0,24.0,67.0,26.0,71.0,34.0,97.0,63.0,60.0,6.0,56.0,46.0,41.0,64.0,24.0,21.0,64.0,13.0
391,2025-07-03 16:31:04.705118+00:00,0.1,0.1,71.0,87.0,13.0,94.0,44.0,65.0,13.0,37.0,47.0,62.0,44.0,58.0,13.0,62.0,59.0,56.0,88.0,73.0,24.0,22.0,40.0,47.0,86.0,24.0,43.0,19.0,60.0,69.0,62.0,80.0,11.0,68.0,74.0,31.0,85.0,63.0,59.0,14.0,24.0,73.0
392,2025-07-03 16:31:04.757395+00:00,0.1,0.1,68.0,52.0,44.0,95.0,64.0,68.0,20.0,46.0,93.0,17.0,23.0,59.0,83.0,53.0,97.0,46.0,51.0,65.0,20.0,46.0,54.0,15.0,44.0,61.0,43.0,90.0,34.0,88.0,58.0,70.0,67.0,55.0,28.0,43.0,17.0,82.0,19.0,88.0,88.0,28.0
393,2025-07-03 16:31:04.858528+00:00,0.1,0.1,0.0,90.0,57.0,0.0,60.0,30.0,97.0,26.0,48.0,58.0,13.0,86.0,79.0,37.0,23.0,98.0,49.0,92.0,100.0,43.0,23.0,57.0,65.0,28.0,76.0,99.0,21.0,26.0,63.0,43.0,98.0,18.0,39.0,79.0,96.0,67.0,70.0,62.0,55.0,57.0
394,2025-07-03 16:31:04.958943+00:00,0.1,0.1,17.0,87.0,71.0,75.0,78.0,84.0,1.0,76.0,72.0,11.0,6.0,6.0,52.0,55.0,39.0,48.0,49.0,44.0,62.0,46.0,64.0,62.0,94.0,20.0,58.0,26.0,5.0,46.0,17.0,40.0,48.0,69.0,2.0,59.0,24.0,17.0,93.0,92.0,32.0,20.0
395,2025-07-03 16:31:05.059516+00:00,0.1,0.1,43.0,35.0,67.0,35.0,26.0,67.0,93.0,24.0,57.0,84.0,68.0,5.0,79.0,68.0,5.0,56.0,3.0,98.0,45.0,14.0,74.0,33.0,1.0,90.0,100.0,62.0,3.0,75.0,17.0,11.0,38.0,34.0,63.0,70.0,56.0,33.0,28.0,53.0,38.0,40.0
396,2025-07-03 16:31:05.160308+00:00,0.1,0.1,25.0,71.0,61.0,79.0,10.0,69.0,57.0,20.0,39.0,68.0,63.0,5.0,54.0,26.0,48.0,99.0,96.0,20.0,68.0,70.0,87.0,52.0,35.0,80.0,41.0,5.0,82.0,37.0,42.0,99.0,47.0,20.0,67.0,98.0,99.0,12.0,5.0,15.0,59.0,85.0
397,2025-07-03 16:31:05.277752+00:00,0.1,0.1,15.0,98.0,84.0,64.0,91.0,41.0,40.0,69.0,97.0,64.0,70.0,93.0,74.0,74.0,6.0,7.0,21.0,70.0,13.0,5.0,100.0,100.0,3.0,64.0,94.0,39.0,17.0,44.0,25.0,98.0,75.0,67.0,18.0,63.0,51.0,97.0,43.0,64.0,71.0,50.0
398,2025-07-03 16:31:05.389028+00:00,0.1,0.1,89.0,82.0,6.0,100.0,54.0,74.0,23.0,53.0,83.0,38.0,47.0,88.0,84.0,4.0,43.0,49.0,93.0,12.0,70.0,47.0,86.0,36.0,56.0,55.0,4.0,4.0,13.0,50.0,21.0,18.0,89.0,52.0,48.0,14.0,29.0,63.0,50.0,37.0,47.0,1.0
399,2025-07-03 16:31:05.490782+00:00,0.1,0.1,36.0,9.0,78.0,32.0,74.0,0.0,80.0,25.0,74.0,60.0,45.0,48.0,94.0,15.0,12.0,21.0,99.0,83.0,15.0,96.0,75.0,22.0,66.0,72.0,58.0,7.0,45.0,83.0,22.0,39.0,77.0,40.0,7.0,47.0,69.0,66.0,69.0,77.0,84.0,49.0
400,2025-07-03 16:31:05.590517+00:00,0.1,0.1,0.0,94.0,13.0,38.0,52.0,81.0,62.0,25.0,78.0,72.0,20.0,83.0,68.0,81.0,14.0,28.0,21.0,93.0,10.0,85.0,56.0,79.0,87.0,33.0,56.0,65.0,74.0,24.0,94.0,64.0,48.0,73.0,60.0,58.0,2.0,81.0,15.0,43.0,12.0,17.0
401,2025-07-03 16:31:05.742181+00:00,0.1,0.1,60.0,38.0,24.0,42.0,68.0,90.0,60.0,95.0,42.0,0.0,52.0,76.0,9.0,74.0,12.0,56.0,66.0,73.0,74.0,9.0,88.0,71.0,54.0,57.0,33.0,67.0,15.0,12.0,2.0,40.0,60.0,62.0,54.0,2.0,25.0,67.0,45.0,16.0,90.0,36.0
402,2025-07-03 16:31:05.800473+00:00,0.1,0.1,93.0,25.0,76.0,100.0,12.0,94.0,44.0,56.0,16.0,38.0,79.0,38.0,47.0,72.0,54.0,4.0,51.0,88.0,51.0,91.0,26.0,30.0,82.0,28.0,86.0,80.0,7.0,31.0,31.0,72.0,47.0,16.0,39.0,13.0,55.0,29.0,57.0,10.0,45.0,3.0
403,2025-07-03 16:31:05.902441+00:00,0.1,0.1,39.0,93.0,85.0,61.0,72.0,60.0,46.0,77.0,43.0,74.0,63.0,9.0,32.0,10.0,39.0,63.0,80.0,72.0,40.0,80.0,6.0,50.0,62.0,71.0,90.0,84.0,34.0,41.0,28.0,77.0,62.0,72.0,23.0,73.0,45.0,72.0,84.0,90.0,65.0,61.0
404,2025-07-03 16:31:06.003577+00:00,0.1,0.1,39.0,60.0,86.0,98.0,86.0,68.0,29.0,33.0,68.0,52.0,33.0,69.0,42.0,42.0,10.0,61.0,44.0,67.0,6.0,68.0,41.0,9.0,89.0,9.0,41.0,79.0,98.0,50.0,18.0,99.0,79.0,98.0,33.0,78.0,19.0,83.0,41.0,43.0,95.0,56.0
405,2025-07-03 16:31:06.104527+00:00,0.1,0.1,99.0,42.0,27.0,29.0,75.0,52.0,74.0,86.0,84.0,43.0,51.0,27.0,4.0,35.0,21.0,52.0,76.0,56.0,58.0,37.0,93.0,12.0,78.0,49.0,23.0,44.0,29.0,69.0,30.0,1.0,98.0,82.0,77.0,75.0,78.0,13.0,66.0,47.0,22.0,95.0
406,2025-07-03 16:31:06.205354+00:00,0.1,0.1,78.0,37.0,74.0,33.0,20.0,16.0,22.0,95.0,12.0,88.0,1.0,20.0,56.0,41.0,29.0,86.0,80.0,1.0,100.0,16.0,77.0,92.0,27.0,38.0,5.0,45.0,97.0,29.0,94.0,47.0,36.0,93.0,35.0,47.0,76.0,94.0,59.0,25.0,66.0,6.0
407,2025-07-03 16:31:06.343279+00:00,0.1,0.1,35.0,44.0,52.0,55.0,57.0,37.0,66.0,57.0,51.0,49.0,58.0,97.0,6.0,75.0,21.0,1.0,2.0,68.0,4.0,9.0,53.0,89.0,9.0,17.0,4.0,24.0,55.0,8.0,12.0,46.0,83.0,88.0,13.0,85.0,56.0,74.0,71.0,25.0,75.0,46.0
408,2025-07-03 16:31:06.434915+00:00,0.1,0.1,32.0,50.0,83.0,35.0,6.0,72.0,64.0,79.0,78.0,11.0,78.0,100.0,38.0,8.0,98.0,9.0,18.0,3.0,11.0,99.0,48.0,88.0,66.0,41.0,8.0,70.0,17.0,4.0,69.0,68.0,63.0,81.0,17.0,17.0,73.0,66.0,96.0,50.0,13.0,30.0
409,2025-07-03 16:31:06.533623+00:00,0.1,0.1,14.0,50.0,32.0,50.0,51.0,80.0,72.0,90.0,63.0,67.0,13.0,54.0,72.0,21.0,90.0,42.0,74.0,11.0,34.0,13.0,16.0,91.0,6.0,37.0,95.0,61.0,8.0,72.0,85.0,54.0,2.0,46.0,35.0,40.0,87.0,94.0,99.0,32.0,90.0,100.0
410,2025-07-03 16:31:06.634630+00:00,0.1,0.1,3.0,94.0,32.0,78.0,97.0,90.0,16.0,13.0,17.0,70.0,56.0,42.0,98.0,27.0,63.0,93.0,3.0,63.0,80.0,87.0,37.0,90.0,84.0,5.0,89.0,48.0,17.0,55.0,90.0,60.0,37.0,48.0,79.0,68.0,15.0,93.0,52.0,67.0,87.0,18.0
411,2025-07-03 16:31:06.783282+00:00,0.1,0.1,19.0,34.0,68.0,21.0,39.0,7.0,62.0,50.0,5.0,3.0,32.0,71.0,89.0,75.0,9.0,9.0,31.0,93.0,65.0,26.0,54.0,58.0,78.0,17.0,100.0,83.0,35.0,9.0,99.0,28.0,26.0,86.0,43.0,97.0,40.0,26.0,15.0,27.0,19.0,59.0
412,2025-07-03 16:31:06.843153+00:00,0.1,0.1,79.0,34.0,30.0,42.0,48.0,54.0,95.0,18.0,52.0,6.0,17.0,37.0,36.0,11.0,54.0,19.0,74.0,13.0,1.0,28.0,39.0,98.0,28.0,82.0,15.0,49.0,0.0,97.0,61.0,64.0,56.0,25.0,51.0,57.0,33.0,14.0,100.0,33.0,44.0,44.0
413,2025-07-03 16:31:06.944110+00:00,0.1,0.1,58.0,30.0,1.0,34.0,11.0,63.0,55.0,80.0,71.0,75.0,69.0,88.0,6.0,60.0,20.0,83.0,77.0,24.0,26.0,60.0,9.0,43.0,93.0,12.0,57.0,47.0,55.0,81.0,82.0,95.0,24.0,36.0,4.0,42.0,49.0,62.0,42.0,13.0,50.0,28.0
414,2025-07-03 16:31:07.044971+00:00,0.1,0.1,100.0,34.0,100.0,22.0,29.0,13.0,68.0,33.0,0.0,26.0,0.0,68.0,10.0,35.0,72.0,18.0,13.0,13.0,69.0,10.0,65.0,36.0,5.0,23.0,52.0,55.0,84.0,5.0,96.0,21.0,72.0,39.0,60.0,71.0,71.0,54.0,59.0,85.0,16.0,67.0
415,2025-07-03 16:31:07.145380+00:00,0.1,0.1,93.0,31.0,21.0,16.0,7.0,85.0,21.0,91.0,55.0,31.0,46.0,72.0,66.0,49.0,73.0,38.0,84.0,83.0,60.0,0.0,3.0,2.0,92.0,65.0,21.0,50.0,40.0,85.0,87.0,96.0,58.0,39.0,62.0,72.0,82.0,91.0,75.0,67.0,7.0,26.0
416,2025-07-03 16:31:07.246171+00:00,0.1,0.1,1.0,88.0,16.0,95.0,18.0,54.0,9.0,61.0,5.0,98.0,75.0,1.0,47.0,81.0,100.0,75.0,46.0,60.0,40.0,60.0,20.0,47.0,3.0,93.0,74.0,33.0,94.0,38.0,64.0,16.0,89.0,48.0,100.0,71.0,49.0,65.0,71.0,86.0,22.0,74.0
417,2025-07-03 16:31:07.346309+00:00,0.1,0.1,38.0,86.0,77.0,46.0,84.0,6.0,16.0,83.0,75.0,10.0,31.0,89.0,18.0,98.0,28.0,36.0,14.0,37.0,48.0,22.0,54.0,7.0,41.0,33.0,59.0,83.0,99.0,82.0,99.0,87.0,67.0,80.0,92.0,33.0,82.0,95.0,37.0,49.0,30.0,82.0
418,2025-07-03 16:31:07.450326+00:00,0.1,0.1,41.0,5.0,73.0,99.0,27.0,0.0,75.0,94.0,12.0,96.0,57.0,18.0,25.0,47.0,98.0,26.0,96.0,73.0,36.0,75.0,54.0,75.0,87.0,39.0,66.0,10.0,29.0,44.0,40.0,23.0,85.0,75.0,27.0,57.0,55.0,3.0,70.0,5.0,69.0,83.0
419,2025-07-03 16:31:07.557010+00:00,0.1,0.1,42.0,27.0,91.0,1.0,74.0,41.0,78.0,0.0,74.0,54.0,90.0,74.0,37.0,86.0,59.0,90.0,54.0,48.0,92.0,27.0,94.0,92.0,69.0,55.0,57.0,19.0,82.0,66.0,100.0,23.0,13.0,11.0,19.0,25.0,19.0,62.0,0.0,90.0,100.0,84.0
420,2025-07-03 16:31:07.662876+00:00,0.1,0.1,2.0,33.0,5.0,34.0,33.0,15.0,75.0,46.0,51.0,38.0,56.0,57.0,68.0,15.0,75.0,91.0,50.0,28.0,86.0,65.0,15.0,65.0,43.0,85.0,2.0,17.0,45.0,43.0,15.0,87.0,49.0,46.0,48.0,21.0,44.0,95.0,94.0,0.0,47.0,87.0
421,2025-07-03 16:31:07.818917+00:00,0.1,0.1,41.0,99.0,61.0,76.0,60.0,5.0,20.0,68.0,56.0,44.0,15.0,19.0,91.0,6.0,46.0,30.0,91.0,34.0,37.0,53.0,29.0,98.0,6.0,48.0,37.0,21.0,64.0,50.0,88.0,90.0,57.0,38.0,72.0,18.0,2.0,15.0,28.0,93.0,51.0,57.0
422,2025-07-03 16:31:07.884695+00:00,0.1,0.1,50.0,34.0,16.0,61.0,4.0,22.0,100.0,4.0,0.0,43.0,55.0,73.0,82.0,4.0,40.0,46.0,27.0,16.0,9.0,24.0,80.0,44.0,45.0,31.0,47.0,34.0,94.0,15.0,49.0,0.0,60.0,10.0,31.0,68.0,29.0,35.0,68.0,84.0,2.0,71.0
423,2025-07-03 16:31:07.982479+00:00,0.1,0.1,26.0,5.0,67.0,92.0,1.0,10.0,87.0,23.0,11.0,63.0,52.0,21.0,100.0,33.0,18.0,21.0,9.0,21.0,85.0,74.0,32.0,82.0,81.0,64.0,66.0,22.0,79.0,73.0,19.0,56.0,48.0,22.0,61.0,15.0,88.0,41.0,21.0,82.0,96.0,29.0
